,QueryText,KCCAns
3382,VARIETIES OF FENUGREEK ?,METHI -1 RAJSTHAN METHI- 1 NO-47 PRABHA PUSA EARLY BUNCHING KASURI
3387,ATTACK OF APHIDS  onion ?,SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)
3388,asking about ATTACK OF APHIDS on onion ?,ATTACK OF APHIDS on onion - Spray Actra 5 gm /15 liter of water.
3391,FARMER ASKED OF ATTACK OF BLIGHT ON ONION ?,"1)Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL 
2)SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER"
3392,Asking about weather forecast?,"This week weather is cloudy,possiblity of light  rainfall."
3398,ATTACK OF APHIDS ON ONION  ?,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN
3403,WILT ATTACK ON ONION  ?,Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA
3407,Attack of Thrips on okaran ?,jump4 mili mix with 15 liter of water and spraying .
3411,asked about attack caterpillar on maize?,attack caterpillar on maize: Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna
3414,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION - 1000 - 2421 RS/QTL
3415,FERTILIZER SPRAY FOR GROWTH ?,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER.
3417,asked about attack of leaf miner on tomato ?,attack of leaf miner on tomato - spray CHLORANTRANILIPROLE
3420,ASKED ABOUT MARKET RATE OF  onion  ?,MARKET RATE OF onion = DEVALA	LAL	QUINTAL	41	1755	2450  RS/QTL
3421,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND RAINFALL CHANCES DURING THIS WEEK
3424,Asking about weather forecast ?,"weather is partially cloudy and No Possibility of Rainfall, Temprature Maximum 35 degree Celcius Minimum 20 degree Celcius."
3425,BLIGHT ATTACK ON ONION ?,Spray Natio 06 gm/15 Liter of Water (Tebuconyazol 50 %+Trifloxystrobin 25%) -BAYER CROP SCIENCE
3428,Asking About Weather Forecast ?,TODAY IS CLEAN WEATHER POSSIBILITY OF RAIN.
3429,FUNGAL ATTACK OF  TOMATO ?,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
3430,Asking about weather forecast ?,"According to the Meteorological Department, this week the atmosphere will be partly cloudy and there is no possibility of rainfall.Today's temperature is -20  degrees Celsius and maximum - 31 degrees Celsius,"
3431,Fertilizer Dose  for okara?-,Spray 0 52 34 60  Gm + Microlla 30 Ml / 15 Litar Water
3433,Asking About Market Rate of onion ?,pune Market Rate of onion-1400-1800  rupees/qtl
3434,FARMER ASKED ABOUT MARKET RATE OF COTTON ?,NANDURBAR COTTON MARKET RATE OF -5751  RS/QTL
3435,ASKING ABOUT CONTROL OF FUNGAL ATTACK ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
3438,Asking about weather forecast?,"This week weather is  cloudy , possibility of light to medium rainfall."
3440,Asking About Market Rate onion  ?,pune Market Rate of onion- 1400-1800   rupees/qtl
3441,ASKED ABOUT ATTACK OF APHIDS ON ONION?,Spray Actra 5 gm + Bavistin- 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta
3443,Asking about weather forecast ?,"According to the Meteorological Department,THIS WEEK WEATHER IS CLEAR, NO CHANCE OF RAINFALL IN  TEHSIL"
3451,cultivation tomato,"Planting
Seeds should be sown on the bed up to make seedlings. Before preparing the bed plant, make sure to double the soil by placing 2, 3 cloves of the cluster and fry the land. Gadi wafa is 1m The width should be 3 meters long and 15 cm tall. Grind 1 gram Fenugreek, mix 50 grams of soyafa and make the steam flat with the hand. Before sowing, wash 3 grams of thyroid fungicide. Planting of seeds should be planted with parallel fingers by cutting the waist and covering it with soil. Water should be provided with fenugreek leaves. After coming out of seed, after 10 to 12 days, give two grams of pearl in two rows and give 10 gram frontlets per foot. Keep the steam watered. To control the flowering and crushing disease, spray 15 days after seedling with 12 to 15 ml monochrotocos and 25 gm of diaethene-M-45 in 10 liters of water. The next two sprays should be done at intervals of 10 days. After 25 to 30 days of sowing, ie after seedling height of 12-15 cm, seedlings should be restored to the entire world. Give water to the vapor a day before planting the seedlings. Therefore, the seedlings are not easily damaged due to the roots of the seedlings. Planting of plants should always be done in the evening or after they are low."
3452,ASKED ABOUT ATTACK SUCKING PEST ON ONION?,ATTACK SUCKING PEST ON ONION: BIO 303 - 15 ML / 15 LITERS OF WATER DAMAN
3453,Asking about weather forecast?,Today's weather Partly cloudy and no Possibility of Rainfall.
3456,Asking about weather forecast?,This week partially weather is cloudy and Possibility of light rainfall.
3461,ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF ONION  = LASALGAON-VINCHUR 900 - 2300 RS/QUINTAL...
3463,FARMER ASKED ABOUT MARKET RATE of onion?,MARKET RATE of onion-900-2300 RS/QTL
3464,Asking about weather forecast?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-21 DEGREE AND MAX.- 34
3466,ONION MARKET  RATE,NASIK MARKET RATE 7 TO 12 / KG/RS
3467,ASKED ABOUT MARKET RATE OF MAIZE ?,MARKET RATE OF MAIZE = LASALGAON -VINCHUR 1226 - 1450 RS/QUINTAL...
3468,asking about FERTILIZER SPRAY FOR GROWTH on cucumber ?,FERTILIZER SPRAY FOR GROWTH on cucumber - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
3475,Asked about Attack of blight on tomato?,Attack of blight on tomato-Spray of Saaf 30gm/15 liter water.
3477,Asking about weather forecast?,"Nashik Weather Forecast. Providing a local 3 hourly Nashik weather forecast of rain, sun, wind, humidity and temperature. The Long-range 10 day forecast also includes detail for Nashik weather today. Live weather reports from Nashik weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 10-day Nashik weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.
Nashik is 566?m above sea level and located at 20.00° N 73.87° E. Nashik has a population of 1289497. Local time in Nashik is 7:24:19?PM IST."
3480,Asked about Fertilizer spray on tomato?,Fertilizer spray on tomato-Spray of 00:52:34 60gm/15 liter water.
3485,asking about FERTILISER DOSE on onion ?,FERTILISER DOSE on onion - 19 19 19 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER
3490,asking about yellowing on onion ?,yellowing on onion - Spray Bavistine 30gm + microla 30 ml /15lit of Water.
3491,ASKING ABOUT GOVERNMENT SCHEME ?,FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER.
3492,FERTILIZER DOSE FOR SUGARCANE?,POTASH 4 KG /ACR
3493,Asked about Market rate of onion?,Market rate of onion-1500-1700/qtl.
3494,FARMER ASKED ABOUT WEATHER FORECAST ?,THIS WEEK WEATHER IS MOSTLY CLEAR AND NO POSSIBILITY OF RAINFALL.
3495,ASKED ABOUT MARKET RATE OF ONION  ?,"MARKET RATE OF ONION  - LOWEST -700, HIGHEST-2001, AVERAGE -1750 RS/QUINTAL"
3496,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,CHANDVAD MARKET RATE OF ONION -MIN 700RS/QTL MAX 2001RS/QTL AVERAGE 1750 RS/QTL
3498,ASKED ABOUT FERTILIZER DOSE FOR GROWTH OF ONION?,19:19:19-60 GRAM + MICROLA-30 MILI / 15 LTER WATER
3500,"Asking about weather forecast?
Farmer Asked About Market Rate Of Onion?","This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall 
 Min -751    Max - 2155    Average -1851 RS/QUINTAL"
3501,FARMER ASKED ABOUT MARKET RATE OF onion  ?,MARKET RATE OF onion -CHANDVAD	UNHALI	QUINTAL	3000	700	2001   RS/QTL
3503,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 30 degrees maximum"
3504,Asking about weather forecast ?,"As per the information received from the Indian Meteorological Department, there is no possibility of rainfall in the district for the next five days. The temperature is 33 degrees maximum"
3505,Asking about weather forecast ?,"According to the Meteorological Department, this week the atmosphere will be partly cloudy and there is no possibility of rainfall
Today's temperature is -21 degrees Celsius and maximum - 34 degrees Celsius"
3507,Asking About Market Rate of cotton?,Market Rate - 5481-5500 rupees/qt.
3508,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION -1000-2181 RS/QTL
3513,ASKED ABOUT ATTACK BLIGHT ON ONION?,ATTACK BLIGHT ON ONION: Spray M-45 30 gm /15 liter water.(Mancozeb) INDOFIL
3514,FARMER ASKED ABOUT MARKET RATE OF onion ?,lasalgaon MARKET RATE OF onion 500-1919 RS/QTL.
3515,FARMER ASKED ABOUT MARKET RATE OF COTTON  ?,JALNA BADNAPUR MARKET RATE OF 8000-8100 RS/QTL
3517,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MALEGAON MARKET RATE OF ONION -500-1875  RS/QTL
3518,asked about attack of  leaf minor,spray cyantriniliprole 10.26 % OD (Benevia) 350 mili / ekar.
3519,Asking about weather forecast?,This week  weather is CLOUDY and light Possibility of Rainfall.
3521,FERTILIZER SPRAY FOR GROWTH ON ONION ?,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER
3522,Asking about weather forecast ?,THIS WEEK WEATHER IS MOSTLY CLEAR TEMP -MIN.-14 DEGREE AND MAX.- 32
3526,FARMER ASKED ABOUT MARKET RATE OF  onion  ?,MARKET RATE OF onion  -minimum -500 maximum -1875 avg 1450 /QTL
3527,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION - 1450 RS/QTL
3528,ASKED ABOUT ABIOTIC STRESS IN TOMATO ?,SPRAY SILICON (ORTHOSELICILIC ACID 3%)DOW NUTRIBUILD IN 15 LITRE OF WATER
3534,FARMER ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF ONION-1650 RS/QTL
3535,Asking About Market Rate of onion in CHANDVAD market?,"In CHANDVAD market -
TODAY Market Rate of onion -Minimum- 1700 rupees/qtl and maximum 2000 -rupees/qtl"
3540,FERTILIZER DOSE FOR ONION ?,FERTILIZER DOSE FOR ONION = SPRAY 00:52:34 60 GM / 15 LITER WATER
3541,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION -1500 RS/QTL
3542,ASKED ABOUT MARKET RATE OF ONION ?,"MARKET RATE OF ONION - 1420,	1645,	1431 RS/QUINTAL"
3544,FARMER ASKED ABOUT MARKET RATE OF ONION?,MARKET RATE OF ONION- 1431 RS/QTL
3545,FARMER ASKED ABOUT MARKET RATE OF ONION ?,"MARKET RATE OF ONION-
MIN-  500    MAX- 1919      AVERAGE- 1650      RS/ QUINTAL"
3548,ASKED ABOUT ATTACK OF THRIPS ON ONION ?,ATTACK OF THRIPS ON ONION : Spray Actra 5 gm + STIKER 5 MILEE /15 Liter of Water(Thiomithoxom 25%)-Syngenta
3550,ASKED ABOUT ATTACK OF SUCKING PEST ON ONION ?,ATTACK OF SUCKING PEST ON ONION : Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
3551,Asking about weather forecast?,Today weather is CLEAR SKY and  NO possibility of rainfall
3552,ASKING ABOUT ATTACK OF blight or Wilt ON ONION ?,Spray Ridomil Gold 40 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
3553,FARMER ASKED ABOUT MARKET RATE OF MAIZE?,"MARKET RATE OF MAIZE - 
MIN- 1110    MAX-1281    AVERAGE- 1195    RS/QTL"
3554,FARMER ASKED ABOUT MARKET RATE OF CABBAGE?,"MARKET RATE OF CABBAGE-
MIN- 600	   MAX- 800    AVERAGE- 700 RS/QTL"
3555,asking about  powdery mildew on tomato crop?,spray	Redomil Gold  30 gram(Mephonaxon+mancozeb)syngnt/15 LITER WATER
3557,Asked About National Research Centre For Grapes  Manjari Farm?,"National Research Centre For Grapes , Manjiri Farm -PUNE - 020 2695 6000"
3562,ASKED ABOUT FERTILIZER USE IN POMOGRANATE ?,APPLY 00 52 34 3 KG / ACRE
3564,Asked about Varieties of gram?,"Varieties of gram-Vishal,Digvijay,Virat."
3565,ASKING CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT?,"CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418 
CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 3268"
3566,ASKED ABOUT ATTACK OF CATERPILLAR ON METHI ?,ATTACK OF CATERPILLAR ON METHI  - Spray Neem ark 30 ml/15 liter water.
3570,Asking about weather forecast ?,THIS WEEK WEATHER IS partially cloudy and No Possibility of Rainfall TEMP -MIN.-22 DEGREE AND MAX.- 31
3572,VARIETIES OF WHEAT ?,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) AJEET-202 AJEET-349
3577,ATTACK OF SUCKING PEST ob brinjal?,SUCKING PEST ob brinjal-Spray Ullala 8 gm/15 Lit of Water.UPL
3579,FARMER ASKED ABOUT MARKET RATE OF onion  ?,MARKET RATE OF onion -250	2200 RS/QTL
3582,ATTACK OF SUCKING PEST on Onion ?,Spray Rijent 30 ml/15 liter water.(Fipronil 5 SC).
3584,FARMER ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION  - 1600 RS/QTL
3587,PREPARATION OF JIVAMRUT?,For preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill +2 kg Soil + 2 kg jaggary + 200 liter water shake well morning and evening till 4 -6 days.
3588,FARMER ASKED ABOUT MARKET RATE OF ONION  ?,MARKET RATE OF ONION  -1900 MAX 500 LOWER  RS/QTL
3591,Asking about weather forecast ?,This week weather is PARTLY CLOUDY and LIGHT Possibility of Rainfall
3592,FERTILIZER OF ONION ?,"At one time 300 kg of neem cake, 2.5 granary super phosphate, 30 kg potash, 2 bags of ammonium sulphate, 10 ton of fertilizer and 10 microns in need of fertilizer should be given at the time of cultivation, give two bags of ammonium sulphate 1 to 2 times at intervals of 1 month.
120 kg of urea, 320 kg of super phosphate and 80 kg of mutant of potassium should be given in the steam before planting for onion crop.
- 30 days after cultivation and 50 days after the second and third installment of 120 kg of urea should be given."
3593,ATTACK OF SUCKING PEST ?,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
3595,pomogranate,"Crop name of pomegranate (in rainy season)
The cultivation gap (meters) -5 * 5m 60 * 60 * 60 cm
Water Supply- 35-40 Water Surveillance
Bahar Dharan-Ambia (Jan-Phab) (fruits: June-August)
Deer Bahar - (June-July) (Fruits: November-January)
Hand out- (September-October) (Fruits: February-April)"
3596,Asking About Market Rate onion ?,Market Rate of onion  	230	1870 rupees/qtl.
3597,Asking about weather forecast ?,This week weather is partially cloudy and possibility of light rainfall.
3598,asked about Attack of White Fly on chilli?,White Fly on chilli-Spray Ullala 8 gm/15 Lit of Water.UPL
3600,ASKED ABOUT FERTILIZER SPRAY ON ONION?,FERTILIZER SPRAY ON ONION: 19:19:19 60 GM + MICROLLA 30 ML / 15 LITER WATER.
3601,FARMER ASKED ABOUT MARKET RATE of ONION?,MARKETE RATE OF ONION-600- 2166 RS/QTL
3603,FERTILIZER SPRAY ON WHEAT ?,SPRAY 00 52 34 60 GM +19:19:19 60 GM /15 Lit of Water.
3605,FARMER ASKED ABOUT MARKET RATE OF Onion?,AVERAGE MARKET RATE OF ONION 1600  RS/QTL
3606,BLIGHT ATTACK on tomato  ?,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
3607,FARMER ASKED ABOUT BACTERIAL BLIGHT ON TOMATO ?,Spray Natio 08 gm/15 Liter of Water(Tebuconyazol+Trifloxystrobin) -BAYER CROP SCIENCE
3615,Asking about weather forecast Tahsil ?,Tahsil Weather Report- This week weather is cloudy and Possibility of light rainfall.
3616,ASKED ABOUT FERTILIZER DOSE FOR ONION?,00:52:34-60 GRAM + MICROLA- 30 MILI / 15 LITER OF WATER
3619,farmer asked about control of fertilizer dose of bitter gourd ?,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER
3621,Asking about weather forecast Tahsil ?,Tahsil Weather Report- This week weather is cloudy and NO Possibility  rainfall.
3622,FERTILIZER SPRAY ON tomato ?,FERTILIZER SPRAY ON tomato-SPRAY 00 52 34 60 GM /15 Lit of Water.
3627,Asking About Market Rate of onion ?,Market Rate of onion - 1600 - 2200  rupees/qtl
3628,Farmer Asked About Weather Forecast?,This Week Weather Is CLOUDY And Possibility  Light Rainfall.
3631,ATTACK OF SHOOT BORER ? ????? ???,Spray Chloropyriphos 30 ml/15 Lit of Water.
3635,asked about murghas preperation crop ?,"murghas preperation crop  - To make a suitable type of poultry, maize, jowar, millet, hybrid nepear, (hattigass), Marvel (in pani village), sugarcane wadders, oats, etc. Single-grade fodder crops can be used. Because the quantity of sugar required for refining in these crops is high. Also, the year of the trunk of these crops is thick and hard. Therefore, these crops take longer to wipe. Therefore, these crops are more convenient to make seams rather than dry."
3636,ASKED ABOUT WILT ATTACK ON FENUGREEK?,Spray Bavistine 30gm/15lit of Water.
3639,Asking about weather forecast?,"Weather Forecast - In the coming week, the atmosphere will remain partially cloudy, maximum temperature is 34 degrees Celsius. The minimum temperature is 19 degrees Celsius."
3641,ATTACK OF SUCKING PEST ?,Spray of Alika 8 ml / 15 lit of water.
3642,FERTILIZER SPRAY ON ONION ?,SPRAY 13 00 45 60 GM /15 Lit of Water.
3643,Asking about weather forecast ?,Weather Report- This week weather is cloudy and light Possibility of Rainfall .
3644,ATTACK OFEATING CATERPILLAR ? LEAF,Spray Proclaim 5 gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
3647,Asking about weather forecast ?,THIS WEEK WEATHER IS CLOUDY AND RAINFALL CHANCES DURING THIS WEEK.
3650,ASKED ABOUT MARKET RATE OF ONION ?,MARKET RATE OF ONION- MIN- 300	 MAX-1851   AVERAGE- 1075   RS/QUINTAL
3651,ATTACK OF APHIDS ?,SPRAY KARATE 20 ML/15 LITERS OF WATER (Lambdacyhalothrin ) SYNGENTA
3655,asked about white fly attack on cotton ?,white fly attack on cotton -Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron)
3656,ATTACK OF PINK BOLLWORM ON COTTON ?,Decis 100-4 ml/15 liter water.( Deltamethrin 100  % EC) Byer Crop Science
3659,VARIETIES OF MAIZE ?,"VARIETIES OF MAIZE -P3546 P3396 ,P3533 P3522, NK-6240, MANJARI ,KARVIR VIVEK- SANKUL ,PANCHGANGA,NK-30"
3660,asked about attack of white fly on cotton ?,SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)
3663,asked about white fly attck on cotton ?,Spray Ullala 8 gm + bavistin 30 gram /15 Lit of Water.
3668,ASKED ABOUT FERTILIZER SPRAY ON COTTON ?,SPRAY 00 52 34  60 GM +  MICROLLA 30 ML  /15 Lit of Water.
3670,ASKING ABOUT  DRENCHING for fungal attack on mango  ?,DRENCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML/15 LITER WATER.
3680,FOR FLOWERING ON COTTON,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE
3681,VARIETIES OF CUMIN ?,"VARIETIES OF CUMIN - R Z-19,R Z- 209,G C- 1"
3691,Asking about weather forecast?,This week weather is CLOUDY and  Possibility of LIGHT Rainfall
3696,Attack of White Fly on cotton ?,Spray Alika 8 ml / 15 lit of water  (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
3699,Asking about weather forecast ?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND LIGHT RAINFALL CHANCES DURING THIS WEEK
3702,Asking about weather forecast ?,"Weather Forecast - partly cloudy atmosphere , there will be possibility of rain in some places."
3706,VARIETIES OF GREEN GRAM ?,VARIETIES OF GREEN GRAM - VAIBHAV PHULE M-2 PUSA VISHAL
3708,ASKING ABOUT WEATHER REPORT TAHSIL?,TAHSIL WEATHER REPORT-THIS WEEK WEATHER IS CLOUDY AND  LIGHT RAINFALL CHANCES DURING THIS WEEK
3709,ATTACK OF PINK BOLLWORM ON COTTON ?,Spray Quinolphos 30 ml / 15 liter water
3713,"Asking about weather forecast?
This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall","Asking about weather forecast?
This week weather is CLOUDY and  Possibility of   LIGHT To MEDIUM Rainfall 

  
Answer By Kcc(In English Language)*"
3714,SEED TREATMENT FOR BENGAL GRAM ?,"SEED TREATMENT FOR BENGAL GRAM ?

SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS"
3719,ASKING ABOUT SPRAYING ON BRINJAL?,Spray Proclaim 5gm + cabratol 30ml/ 15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
3723,ASKING ABOUT FERTILISER DOSE FOR tur,APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE
3728,Attack of White Grub,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
3730,FERTILIZER SPRAY ?,SPRAY 13 00 45 60 GM /15 Lit of Water.
3731,FLOWER DROP in cotton ?,SPRAY PLANOFIX 4 ML/15 LITER WATER .
3736,ATTACK OF SUCKING PEST on cotton ??,sUCKING PEST on cotton = SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE
3737,FOR FLOWERING  FOR REDGRAM ?,Spray Boom flower 30 ml+/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE
3738,Asking About Market Rate of soybean ?,Market Rate of soybean  2500-3100 rupees/qtl
3741,Asked about FERTILIZER SPRAY ON bottle Gourd ?,SPRAY 00 52 34 60 GM /15 Lit of Water.
3748,Attack of White Grub ON PIGEON PEA?,Drenching of Chloropyriphos 40 ml / 15 lit of water.
3750,Asking about weather forecast Tahsil ?,Tahsil Weather Report- This week weather is CLOUDY and Possibility  MEDIUM  Rainfall
3752,Asked about Fertilizer spray for growth in pigeon pea?,Fertilizer spray for growth on pigeon pea-Spray of 12:61:00 60gm + microlla 30ml/15 liter water.
3754,Asked Attack Red Mites ?,Spray of Oberon 15 ml / 15Lit of Water.
3762,Asking about weather forecast ?,WEATHER REPORT- cloudy skies. Rain or likely in some areas.
3764,Asking about weather forecast tahsil?,Tahsil weather report-This week weather is cloudy and possibility of light rainfall.
3767,Attack of White Fly ?,SPRAY PRIDE 7 GM / 15 LITERS OF WATER (Acetamiprid 20 %)
3772,FUNGAL ATTACK ON TUR ?,Spray Bavistine 30gm/15lit of Water.(CARBENDAZIM 50%WP)
3773,ASKED ABOUT ATTACK OF CATERPILLAR ON COTTON ?,Decis -100 4 ml/15 liter of water (deltamethrin)-Bayer
3781,asked about attack of thrips ?,KARATE 6 ml/ 10 liter water.
3785,ASKED ABOUT FERTILIZER DOSE FOR SUGARCANE ?,FERTILIZER DOSE FOR SUGARCANE : 19 19 19 3 KILO + MICROLLA 300 MILEE PER ACRE
3786,ASKING ABOUT SPRAY FOR FLOWERING on cotton?,Spray boom flower 20 ml (nitrobenzene 20%)/15 lit of water-DEVICROP AGRO SCI.COMP.
3796,asked about drenching for cotton ?,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER
3803,SEED TREATMENT FOR BENGAL GRAM ?,SEED TREATMENT FOR BENGAL GRAM: SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS
3810,Asking about weather forecast?,THIS WEEK WEATHER IS CLOUDY AND  RAINFALL CHANCES DURING THIS WEEK-
3826,Asking about weather forecast ?,Spray Tata manik 7 gm/15 liter of water(Acetamapride20SP)-Tata Rallis
3828,Krishi Vigyan Kendra,"Krishi Vigyan Kendra Jalgoan Jamod. Dist : BULDANA  
Phone No. & TeleFax : 07266 - 221620"
3835,Asking about weather forecast in Malkapur( Buldana)?,"weather forecast in  Malkapur( Buldana) This week weather is cloudy and light possibility of rainfall, Today's temperature - 21-35  degree celsius,wind speed -12 kilometer/hr ."
3836,Asking about weather forecast in Motala (Buldana) ?,"weather forecast in  Motala (Buldana)This week weather is cloudy and light possibility of rainfall, Today's temperature -21 - 35 degree celsius,wind speed - 12  kilometer/hr ."
3843,Attack of Fruit Borer ?,Spray fame  5ml/15 Lit of Water. (Flubendiamide 480 SC )- Byer Crop Science
3844,Attack of White Fly ?,Spray Oberon 15 ml/15 Liter of Water(spiromesifen 20.9%)-Bayer
3846,Asking about weather forecast in Motala(Buldana)  ?,"weather forecast in  Motala(Buldana) This week weather is cloudy and light possibility of rainfall, Today's temperature - 21 - 35 degree celsius,wind speed -12  kilometer/hr ."
3849,ASKED ABOUT INCREASE FRUIT SIZE ?,FERTILIZER DOSE- SPRAY 00 52 34 60 GM + MICROLA 30 ML/15 Lit of Water THROUGH DRIP
3852,ASKING ABOUT REDDNING OF COTTON ?,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
3856,ATTACK OF POD BORER ?,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
3861,VARIETIES OF SORGHUM ?,"VARIETIES OF SORGHUM - PHULE CHITRA ,PHULE SUCHITRA ,PHULE MAULI, PHULE ANURADHA, PHULE REVTI, MALDANDI 35-1"
3863,ASKED ABOUT WHITE FLY ATTACK ON COTTON?,Spray Ullala 8 gm+ ACETAMAPRIDE 8 GRAM /15 Lit of Water. (Flonicamid 50% WG) UPL
3865,Asking about weather forecast in Nandura( Buldana )  ?,"weather forecast in Nandura( Buldana )This week weather is cloudy and light possibility of rainfall, Today's temperature - 22-35  degree celsius,wind speed -11 kilometer/hr ."
3866,ATTACK OF WHITE GRUB on cotton ?,Humnasur 1 kg/acre(Patil Biotech)
3867,Asking about weather forecast?,"THIS WEEK WEATHER IS CLOUDY LIGHT   RAINFALL CHANCES
?"
3868,Asking about weather forecast in Deulgaon Raja(Buldana )  ?,"Weather forecast in  Deulgaon Raja(Buldana )This week weather is cloudy and light possibility of rainfall, Today's temperature - 22-32 degree celsius,wind speed - 15 kilometer/hr ."
3871,ASKED ABOUT WILT ON TUR?,WILT ON TUR-Drenching of Chloropyriphos 40 ml / 15 lit of water.
3874,asked about contact no of krishi vidyapeeth ?,contact no of krishi vidyapeeth  akola-Dr. Panjabrao Deshmukh Krishi Vidyapeeth AKOLA -0724 225 8372
3876,ASKING ABOUT WEATHER INFORMATION ?,"This week weather is cloudy, possibility of light to medium rainfall."
3882,Asked about Market rate of capsicum?,Market rate of capsicum-800-1200/qtl.
3889,ASKING ABOUT ATTACK OF WHITE FLY on papaya ?,"Spray Pride 07 gm /15 liter of water(Acetamapride 20SP)-Dow agro
Spray Arena Chocolate 1 / 15  liter of water"
3896,ASKING ABOUT WEATHER INFORMATION ?,"Sky is likely to be generally CLOUDY , light RAINFALL CHANCES in some areas."
3897,Asking about weather forecast in Khamgaon(Buldana) ?,"weather forecast in Khamgaon(Buldana)   This week weather is cloudy and light possibility of rainfall, Today's temperature - 25 - 34  degree celsius,wind speed - 5 kilometer/hr ."
3898,ASKED ABOUT ATTACK OF WHITE GRUB IN PIGEON PEA ?,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
